state,participation_rate,composite,year,py_participation_rate,py_composite,code,region,rate_diff_from_prior,percent_range
Kansas,0.79,19.9,2021,0.82,20.4,KS,Midwest,-0.029999999999999916,76-100
Montana,0.7,20.4,2021,1.0,19.9,MT,West,-0.30000000000000004,51-75
Hawaii,0.67,18.2,2021,0.82,18.5,HI,West,-0.1499999999999999,51-75
Missouri,0.63,20.6,2021,0.78,20.7,MO,Midwest,-0.15000000000000002,51-75
Minnesota,0.6,21.6,2021,0.92,21.3,MN,Midwest,-0.32000000000000006,51-75
Oklahoma,0.58,19.7,2021,1.0,18.7,OK,South,-0.42000000000000004,51-75
South Dakota,0.55,21.6,2021,0.7,21.7,SD,Midwest,-0.1499999999999999,51-75
South Carolina,0.5,18.6,2021,0.76,18.4,SC,South,-0.26,26-50
Iowa,0.47,21.5,2021,0.68,21.1,IA,Midwest,-0.21000000000000008,26-50
Arizona,0.35,19.8,2021,0.71,19.1,AZ,West,-0.36,26-50
Florida,0.34,20.4,2021,0.46,20.6,FL,South,-0.12,26-50
West Virginia,0.3,20.8,2021,0.38,20.9,WV,South,-0.08000000000000002,26-50
Georgia,0.24,22.6,2021,0.43,21.7,GA,South,-0.19,1-25
New Mexico,0.23,20.7,2021,0.56,19.3,NM,West,-0.33000000000000007,1-25
Texas,0.23,20.1,2021,0.38,20.2,TX,South,-0.15,1-25
Oregon,0.2,20.6,2021,0.42,21.0,OR,West,-0.21999999999999997,1-25
District of Columbia,0.19,25.6,2021,0.33,23.1,DC,South,-0.14,1-25
Illinois,0.19,25.2,2021,0.31,24.7,IL,Midwest,-0.12,1-25
Alaska,0.16,20.6,2021,0.33,20.1,AK,West,-0.17,1-25
Colorado,0.16,23.6,2021,0.25,23.7,CO,West,-0.09,1-25
Idaho,0.16,23.0,2021,0.28,22.7,ID,West,-0.12000000000000002,1-25
Indiana,0.14,23.1,2021,0.25,22.6,IN,Midwest,-0.10999999999999999,1-25
New Jersey,0.12,25.1,2021,0.23,24.4,NJ,Northeast,-0.11000000000000001,1-25
Connecticut,0.09,27.2,2021,0.19,25.9,CT,Northeast,-0.1,1-25
Michigan,0.09,25.1,2021,0.17,24.6,MI,Midwest,-0.08000000000000002,1-25
New York,0.09,26.3,2021,0.2,24.9,NY,Northeast,-0.11000000000000001,1-25
Virginia,0.09,25.5,2021,0.19,24.4,VA,South,-0.1,1-25
Maryland,0.08,25.5,2021,0.19,23.8,MD,South,-0.11,1-25
Massachusetts,0.07,27.6,2021,0.18,26.0,MA,Northeast,-0.10999999999999999,1-25
Pennsylvania,0.07,25.0,2021,0.15,23.7,PA,Northeast,-0.07999999999999999,1-25
Washington,0.07,23.6,2021,0.2,22.9,WA,West,-0.13,1-25
California,0.05,26.1,2021,0.19,23.3,CA,West,-0.14,1-25
Delaware,0.05,25.7,2021,0.11,24.2,DE,South,-0.06,1-25
New Hampshire,0.04,26.6,2021,0.12,25.7,NH,Northeast,-0.07999999999999999,1-25
Rhode Island,0.04,25.8,2021,0.11,24.8,RI,Northeast,-0.07,1-25
Vermont,0.04,24.7,2021,0.23,23.3,VT,Northeast,-0.19,1-25
Maine,0.02,25.6,2021,0.05,24.9,ME,Northeast,-0.030000000000000002,1-25
