state,participation_rate,total,year,py_participation_rate,py_total,code,region,rate_diff_from_prior,percent_range
Iowa,0.02,1243,2021,0.03,1220.0,IA,Midwest,-0.009999999999999998,1-25
Kansas,0.02,1219,2021,0.04,1237.0,KS,Midwest,-0.02,1-25
Kentucky,0.04,1207,2021,0.04,1207.0,KY,South,0.0,1-25
Louisiana,0.03,1188,2021,0.05,1170.0,LA,South,-0.020000000000000004,1-25
Maine,0.29,1099,2021,0.98,995.0,ME,Northeast,-0.69,26-50
Maryland,0.47,1073,2021,0.88,1029.0,MD,South,-0.41000000000000003,26-50
Massachusetts,0.34,1184,2021,0.8,1119.0,MA,Northeast,-0.46,26-50
Michigan,0.68,1031,2021,1.0,998.0,MI,Midwest,-0.31999999999999995,51-75
Minnesota,0.02,1263,2021,0.04,1257.0,MN,Midwest,-0.02,1-25
Mississippi,0.01,1202,2021,0.03,1203.0,MS,South,-0.019999999999999997,1-25
Missouri,0.02,1219,2021,0.04,1213.0,MO,Midwest,-0.02,1-25
Montana,0.05,1225,2021,0.1,1185.0,MT,West,-0.05,1-25
Nebraska,0.02,1246,2021,0.03,1229.0,NE,Midwest,-0.009999999999999998,1-25
Nevada,0.04,1195,2021,0.17,1150.0,NV,West,-0.13,1-25
New Hampshire,0.71,1065,2021,0.93,1055.0,NH,Northeast,-0.22000000000000008,51-75
New Jersey,0.48,1125,2021,0.82,1081.0,NJ,Northeast,-0.33999999999999997,26-50
New Mexico,0.3,996,2021,0.19,1055.0,NM,West,0.10999999999999999,26-50
New York,0.55,1057,2021,0.79,1058.0,NY,Northeast,-0.24,51-75
North Carolina,0.23,1150,2021,0.48,1097.0,NC,South,-0.24999999999999997,1-25
North Dakota,0.01,1258,2021,0.02,1232.0,ND,Midwest,-0.01,1-25
Ohio,0.15,1048,2021,0.21,1070.0,OH,Midwest,-0.06,1-25
Oklahoma,0.06,1042,2021,0.2,971.0,OK,South,-0.14,1-25
Oregon,0.17,1119,2021,0.51,1104.0,OR,West,-0.33999999999999997,1-25
Pennsylvania,0.39,1123,2021,0.67,1077.0,PA,Northeast,-0.28,26-50
Rhode Island,0.68,1011,2021,1.0,990.0,RI,Northeast,-0.31999999999999995,51-75
South Carolina,0.48,1036,2021,0.68,1027.0,SC,South,-0.20000000000000007,26-50
South Dakota,0.01,1215,2021,0.03,1219.0,SD,Midwest,-0.019999999999999997,1-25
Tennessee,0.04,1220,2021,0.07,1186.0,TN,South,-0.030000000000000006,1-25
Texas,0.59,1003,2021,0.73,1010.0,TX,South,-0.14,51-75
Utah,0.01,1238,2021,0.03,1204.0,UT,West,-0.019999999999999997,1-25
Vermont,0.41,1124,2021,0.63,1104.0,VT,Northeast,-0.22000000000000003,26-50
Virginia,0.41,1151,2021,0.65,1116.0,VA,South,-0.24000000000000005,26-50
Washington,0.27,1072,2021,0.69,1073.0,WA,West,-0.41999999999999993,26-50
West Virginia,0.45,1007,2021,0.98,936.0,WV,South,-0.53,26-50
Wisconsin,0.01,1215,2021,0.03,1243.0,WI,Midwest,-0.019999999999999997,1-25
Wyoming,0.02,1233,2021,0.02,1220.0,WY,West,0.0,1-25
